crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank
Pole Emploi   TASSIN,3 Avenue GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,81317557700010,0.9936674237251282,SIRET 81317557700010,3 AVENUE GENERAL BROSSET,TASSIN-LA-DEMI-LUNE,69160,69244,2
Pole Emploi   TASSIN,3 Avenue GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,13000548103303,0.980810821056366,AFT TASSIN LA DEMI LUNE,3 AVENUE GENERAL BROSSET,TASSIN-LA-DEMI-LUNE,69160,69244,3
Pole Emploi   TASSIN,3 Avenue GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,90037891000013,0.6738565564155579,SIRET 90037891000013,32 AVENUE GENERAL BROSSET,TASSIN-LA-DEMI-LUNE,69160,69244,4
Pole Emploi   TASSIN,3 Avenue GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,92096580300017,0.6738565564155579,SIRET 92096580300017,34 AVENUE GENERAL BROSSET,TASSIN-LA-DEMI-LUNE,69160,69244,5
Prado Rhone Alpes Fontaines,200 rue du Prado,69270,FONTAINES ST MARTIN,98249494000017,0.9982708692550659,LES RESTOS DU PRADO,200 RUE DU PRADO,FONTAINES-SAINT-MARTIN,69270,69087,1
Prado Rhone Alpes Fontaines,200 rue du Prado,69270,FONTAINES ST MARTIN,89417706200011,0.9981478452682495,PRADO ITINERAIRES,200 RUE DU PRADO,FONTAINES-SAINT-MARTIN,69270,69087,2
Prado Rhone Alpes Fontaines,200 rue du Prado,69270,FONTAINES ST MARTIN,92294243800016,0.9978330731391907,PRADO MERIDIENS,200 RUE DU PRADO,FONTAINES-SAINT-MARTIN,69270,69087,3
Prado Rhone Alpes Fontaines,200 rue du Prado,69270,FONTAINES ST MARTIN,77564974200555,0.9968335032463074,PRADO EDUCATION,200 RUE DU PRADO,FONTAINES-SAINT-MARTIN,69270,69087,4
Prado Rhone Alpes Fontaines,200 rue du Prado,69270,FONTAINES ST MARTIN,77564974200233,0.9963591694831848,PRADO EDUCATION,200 RUE DU PRADO,FONTAINES-SAINT-MARTIN,69270,69087,5
Pramana (Agence de Lyon),1 Rue Alexandre Luigini,69001,LYON,48988492400015,0.6618162393569946,AGENCE GESTION RELATION CITOYENNE,20 RUE POUTEAU,LYON,69001,69381,1
Pramana (Agence de Lyon),1 Rue Alexandre Luigini,69001,LYON,32052717900016,0.34114697575569153,SYND PERSONNEL ENCADREMENT INDUST TEXTIL,1 RUE ALEXANDRE LUIGINI,LYON,69001,69381,2
